"barcode","dataset","PAX8","GATA3","ESR1"
"TCGA-A1-A0SD-01A-11R-A115-07","BRCA.mRNA",-0.54225,2.8705,3.08425
"TCGA-A1-A0SE-01A-11R-A084-07","BRCA.mRNA",-0.59475,2.16625,2.386
"TCGA-A1-A0SH-01A-11R-A084-07","BRCA.mRNA",0.49975,1.3235,0.79125
"TCGA-A1-A0SJ-01A-11R-A084-07","BRCA.mRNA",-0.5885,1.841625,2.49541666666667
"TCGA-A1-A0SK-01A-12R-A084-07","BRCA.mRNA",-0.96475,-6.02525,-4.86066666666667
"TCGA-A1-A0SM-01A-11R-A084-07","BRCA.mRNA",0.57275,1.8045,2.797
"TCGA-A1-A0SO-01A-22R-A084-07","BRCA.mRNA",-0.68475,-4.87925,-4.48608333333333
"TCGA-A1-A0SP-01A-11R-A084-07","BRCA.mRNA",-0.43825,-3.14325,-1.62741666666667
"TCGA-A2-A04N-01A-11R-A115-07","BRCA.mRNA",0.34025,2.034,4.11558333333333
"TCGA-A2-A04P-01A-31R-A034-07","BRCA.mRNA",-1.3515,-0.293125,0.473166666666667
"TCGA-A2-A04Q-01A-21R-A034-07","BRCA.mRNA",0.53325,-0.802625,-1.80158333333333
"TCGA-A2-A04R-01A-41R-A109-07","BRCA.mRNA",0.2115,2.646375,3.84525
"TCGA-A2-A04T-01A-21R-A034-07","BRCA.mRNA",0.46475,-2.315375,-3.24466666666667
"TCGA-A2-A04U-01A-11R-A115-07","BRCA.mRNA",-1.02225,-3.758125,-4.21433333333333
"TCGA-A2-A04V-01A-21R-A034-07","BRCA.mRNA",-0.75325,3.93,4.07166666666667
"TCGA-A2-A04W-01A-31R-A115-07","BRCA.mRNA",0.73725,-1.28125,-1.46258333333333
"TCGA-A2-A04X-01A-21R-A034-07","BRCA.mRNA",-0.043,1.619375,0.917333333333333
"TCGA-A2-A04Y-01A-21R-A034-07","BRCA.mRNA",0.20475,1.87025,3.01266666666667
"TCGA-A2-A0CL-01A-11R-A115-07","BRCA.mRNA",-0.401,1.470375,0.43225
"TCGA-A2-A0CM-01A-31R-A034-07","BRCA.mRNA",0.6335,-2.95925,-1.44283333333333
"TCGA-A2-A0CP-01A-11R-A034-07","BRCA.mRNA",-0.13375,2.34725,2.85416666666667
"TCGA-A2-A0CQ-01A-21R-A034-07","BRCA.mRNA",0.729,2.456625,4.35833333333333
"TCGA-A2-A0CS-01A-11R-A115-07","BRCA.mRNA",-0.1855,3.36942857142857,4.52125
"TCGA-A2-A0CT-01A-31R-A056-07","BRCA.mRNA",0.1,2.977875,3.98691666666667
"TCGA-A2-A0CU-01A-12R-A034-07","BRCA.mRNA",0.535666666666667,2.26375,5.1325
"TCGA-A2-A0CV-01A-31R-A115-07","BRCA.mRNA",0.03925,1.992,3.63908333333333
"TCGA-A2-A0CW-01A-21R-A115-07","BRCA.mRNA",0.03125,1.543125,4.52616666666667
"TCGA-A2-A0CX-01A-21R-A00Z-07","BRCA.mRNA",-1.39066666666667,1.477875,-1.27158333333333
"TCGA-A2-A0CY-01A-12R-A034-07","BRCA.mRNA",-0.1515,0.043375,4.39041666666667
"TCGA-A2-A0CZ-01A-11R-A034-07","BRCA.mRNA",0.107,2.30575,1.66408333333333
"TCGA-A2-A0D0-01A-11R-A00Z-07","BRCA.mRNA",-1.51625,-2.202125,-4.62591666666667
"TCGA-A2-A0D1-01A-11R-A034-07","BRCA.mRNA",0.225,1.814625,-2.71908333333333
"TCGA-A2-A0D2-01A-21R-A034-07","BRCA.mRNA",0.1115,-1.291625,-2.594
"TCGA-A2-A0D3-01A-11R-A115-07","BRCA.mRNA",-1.31025,2.983875,3.19008333333333
"TCGA-A2-A0D4-01A-11R-A00Z-07","BRCA.mRNA",-1.07125,2.135,3.561
"TCGA-A2-A0EM-01A-11R-A034-07","BRCA.mRNA",1.86725,1.98825,4.16591666666667
"TCGA-A2-A0EN-01A-13R-A084-07","BRCA.mRNA",0.384,1.382875,3.43875
"TCGA-A2-A0EO-01A-11R-A034-07","BRCA.mRNA",0.16475,1.80525,3.257
"TCGA-A2-A0EQ-01A-11R-A034-07","BRCA.mRNA",0.85525,1.83425,0.112583333333333
"TCGA-A2-A0ER-01A-21R-A034-07","BRCA.mRNA",-0.768666666666667,2.947375,4.58658333333333
"TCGA-A2-A0ES-01A-11R-A115-07","BRCA.mRNA",-0.917,0.789,3.19025
"TCGA-A2-A0ET-01A-31R-A034-07","BRCA.mRNA",0.62775,2.793125,4.38608333333333
"TCGA-A2-A0EU-01A-22R-A056-07","BRCA.mRNA",0.2465,2.640375,4.44316666666667
"TCGA-A2-A0EV-01A-11R-A034-07","BRCA.mRNA",-0.643,1.71,3.99325
"TCGA-A2-A0EW-01A-21R-A115-07","BRCA.mRNA",-0.8945,1.552,3.55041666666667
"TCGA-A2-A0EX-01A-21R-A034-07","BRCA.mRNA",-0.7025,1.764625,2.30091666666667
"TCGA-A2-A0EY-01A-11R-A034-07","BRCA.mRNA",-0.486333333333333,1.220375,2.92958333333333
"TCGA-A2-A0ST-01A-12R-A084-07","BRCA.mRNA",0.536,-0.07625,0.621166666666667
"TCGA-A2-A0SU-01A-11R-A084-07","BRCA.mRNA",0.71575,2.825625,5.06233333333333
"TCGA-A2-A0SV-01A-11R-A084-07","BRCA.mRNA",0.69075,1.83325,1.88958333333333
"TCGA-A2-A0SW-01A-11R-A084-07","BRCA.mRNA",-0.60825,0.3605,3.46925
"TCGA-A2-A0SX-01A-12R-A084-07","BRCA.mRNA",-0.457,-1.734875,-1.14416666666667
"TCGA-A2-A0SY-01A-31R-A084-07","BRCA.mRNA",-0.7685,2.09175,3.865
"TCGA-A2-A0T0-01A-22R-A084-07","BRCA.mRNA",-0.609,0.342875,-2.00266666666667
"TCGA-A2-A0T1-01A-21R-A084-07","BRCA.mRNA",-0.49775,0.11025,-2.69541666666667
"TCGA-A2-A0T2-01A-11R-A084-07","BRCA.mRNA",-1.58875,0.164125,-2.88033333333333
"TCGA-A2-A0T3-01A-21R-A115-07","BRCA.mRNA",0.23775,2.118875,3.5905
"TCGA-A2-A0T4-01A-31R-A084-07","BRCA.mRNA",-0.476,2.364625,4.26783333333333
"TCGA-A2-A0T5-01A-21R-A084-07","BRCA.mRNA",-0.5825,1.94425,2.78641666666667
"TCGA-A2-A0T6-01A-11R-A084-07","BRCA.mRNA",0.2865,1.92775,2.07275
"TCGA-A2-A0T7-01A-21R-A084-07","BRCA.mRNA",-0.60875,1.703,1.6945
"TCGA-A2-A0YC-01A-11R-A109-07","BRCA.mRNA",0.78625,2.251375,4.37366666666667
"TCGA-A2-A0YD-01A-11R-A109-07","BRCA.mRNA",-0.9265,2.19425,3.93141666666667
"TCGA-A2-A0YE-01A-11R-A109-07","BRCA.mRNA",0.7445,-2.9355,-3.901
"TCGA-A2-A0YF-01A-21R-A109-07","BRCA.mRNA",0.90825,1.73025,5.55033333333333
"TCGA-A2-A0YG-01A-21R-A109-07","BRCA.mRNA",0.31625,1.4315,3.44833333333333
"TCGA-A2-A0YH-01A-11R-A109-07","BRCA.mRNA",0.1765,2.021875,3.74341666666667
"TCGA-A2-A0YI-01A-31R-A10J-07","BRCA.mRNA",0.85875,2.33425,4.53158333333333
"TCGA-A2-A0YJ-01A-11R-A109-07","BRCA.mRNA",0.92475,-4.565,-3.59008333333333
"TCGA-A2-A0YK-01A-22R-A109-07","BRCA.mRNA",-0.10025,1.426125,3.8335
"TCGA-A2-A0YL-01A-21R-A109-07","BRCA.mRNA",-1.525,1.97175,2.38058333333333
"TCGA-A2-A0YM-01A-11R-A109-07","BRCA.mRNA",-0.68225,-2.713,-2.92008333333333
"TCGA-A2-A0YT-01A-11R-A109-07","BRCA.mRNA",-0.12675,1.498125,3.87741666666667
"TCGA-A7-A0CD-01A-11R-A00Z-07","BRCA.mRNA",-1.36766666666667,3.138875,4.62858333333333
"TCGA-A7-A0CE-11A-21R-A089-07","BRCA.mRNA",0.29625,-0.000124999999999997,3.97575
"TCGA-A7-A0CE-01A-11R-A00Z-07","BRCA.mRNA",0.94125,-1.031,-1.10241666666667
"TCGA-A7-A0CG-01A-12R-A056-07","BRCA.mRNA",-0.07275,1.216,4.65275
"TCGA-A7-A0CH-11A-32R-A089-07","BRCA.mRNA",0.673,0.31875,3.15516666666667
"TCGA-A7-A0CH-01A-21R-A00Z-07","BRCA.mRNA",0.1205,2.484625,5.46758333333333
"TCGA-A7-A0CJ-01A-21R-A00Z-07","BRCA.mRNA",-0.28825,2.42025,4.66491666666667
"TCGA-A7-A0D9-11A-53R-A089-07","BRCA.mRNA",-0.3545,-3.25025,0.579083333333333
"TCGA-A7-A0D9-01A-31R-A056-07","BRCA.mRNA",0.0775,2.834875,3.28466666666667
"TCGA-A7-A0DA-01A-31R-A115-07","BRCA.mRNA",-1.1205,-1.06175,-3.34258333333333
"TCGA-A7-A0DB-11A-33R-A089-07","BRCA.mRNA",0.549,-3.86425,0.03225
"TCGA-A7-A0DB-01A-11R-A00Z-07","BRCA.mRNA",-0.261666666666667,1.926625,4.46308333333333
"TCGA-A7-A13D-01A-13R-A12P-07","BRCA.mRNA",-0.672,-1.74525,-3.038
"TCGA-A7-A13E-11A-61R-A12P-07","BRCA.mRNA",1.076,-0.42975,2.49125
"TCGA-A7-A13E-01A-11R-A12P-07","BRCA.mRNA",-0.7025,-4.3955,-1.0925
"TCGA-A7-A13F-11A-42R-A12P-07","BRCA.mRNA",-1.2305,-0.75225,0.352416666666667
"TCGA-A7-A13F-01A-11R-A12P-07","BRCA.mRNA",-1.34775,2.2625,2.84233333333333
"TCGA-A8-A06N-01A-12R-A056-07","BRCA.mRNA",1.04475,3.31925,5.61366666666667
"TCGA-A8-A06O-01A-11R-A00Z-07","BRCA.mRNA",-1.0715,0.788125,4.57983333333333
"TCGA-A8-A06P-01A-11R-A00Z-07","BRCA.mRNA",0.295,1.6045,3.09075
"TCGA-A8-A06Q-01A-11R-A034-07","BRCA.mRNA",-0.108,0.8905,3.48508333333333
"TCGA-A8-A06R-01A-11R-A00Z-07","BRCA.mRNA",-0.81775,1.100625,4.43058333333333
"TCGA-A8-A06T-01A-11R-A00Z-07","BRCA.mRNA",-0.806333333333333,2.375375,5.27391666666667
"TCGA-A8-A06U-01A-11R-A00Z-07","BRCA.mRNA",-0.32625,2.674125,4.33925
"TCGA-A8-A06X-01A-21R-A00Z-07","BRCA.mRNA",-0.05,3.715125,4.947
"TCGA-A8-A06Y-01A-21R-A00Z-07","BRCA.mRNA",0.72625,2.975125,5.25875
"TCGA-A8-A06Z-01A-11R-A00Z-07","BRCA.mRNA",-0.418,1.44025,4.4275
"TCGA-A8-A075-01A-11R-A084-07","BRCA.mRNA",0.3365,1.710625,1.47258333333333
"TCGA-A8-A076-01A-21R-A00Z-07","BRCA.mRNA",-0.284,1.62275,1.89566666666667
"TCGA-A8-A079-01A-21R-A00Z-07","BRCA.mRNA",0.67075,2.59625,5.36833333333333
"TCGA-A8-A07B-01A-11R-A00Z-07","BRCA.mRNA",0.27175,2.115375,3.03133333333333
"TCGA-A8-A07C-01A-11R-A034-07","BRCA.mRNA",-0.097,-4.39275,-3.456
"TCGA-A8-A07E-01A-11R-A034-07","BRCA.mRNA",-0.00650000000000002,1.210625,4.13566666666667
"TCGA-A8-A07F-01A-11R-A00Z-07","BRCA.mRNA",0.04675,1.926625,3.25716666666667
"TCGA-A8-A07G-01A-11R-A034-07","BRCA.mRNA",-0.1085,1.7355,4.65716666666667
"TCGA-A8-A07I-01A-11R-A00Z-07","BRCA.mRNA",-0.88525,1.544,3.97508333333333
"TCGA-A8-A07J-01A-11R-A00Z-07","BRCA.mRNA",-0.5515,2.47175,2.48816666666667
"TCGA-A8-A07L-01A-11R-A040-07","BRCA.mRNA",-0.17425,2.15475,5.78758333333333
"TCGA-A8-A07O-01A-11R-A00Z-07","BRCA.mRNA",0.64,-2.05,-1.67058333333333
"TCGA-A8-A07P-01A-11R-A00Z-07","BRCA.mRNA",0.674,1.136,4.75741666666667
