Year,Anchovy,Sardine,Chub mackerel,Horse mackerel,Mackerel,Jack mackerel,Boats.BO,Trawlers BOT,Purse seiners BOP,Beach seiners BOB,Other BOC,Demersal.BOD,Fishers.FI,Trawlers FIT,Purse seiners FIP,Beach seiners FIB,Other FIC,Demersal.FID,Horsepower.HP,Trawler HPT,Purse seiners HPP,Beach seiners HPB,Other HPC,Demersal.HPD,Trawler VAT,Purse seiners VAP,Beach seiners VAB,Other VAC,Tonnage.TO,Trawlers.TOT,Purse.seiners.TOP
1964,5449.2,12984.4,1720.7,4022.4,NA,NA,6688,363,307,810,5208,6381,14427,1557,3533,1980,7357,10894,110343,45802,16071,11128,37342,94272,139857.9,125322.4,59547.8,202225.6,19772,12961,5210
1965,4263.5,10611.1,1278.5,4158.3,NA,NA,6996,356,309,820,5511,6687,14478,1487,3566,1832,7593,10912,113363,45643,16358,11310,40052,97005,153643,159388.3,62661.2,244849.7,20252,13102,5298
1966,5146.4,11437.8,802.6,3012.1,NA,NA,7145,342,320,834,5649,6825,14376,1423,3503,1761,7689,10873,119741,45404,18303,12221,43813,101438,157443.2,163929,66167.7,286534.8,19668,12385,5428
1967,7271.5,8987,1752,2686.4,NA,NA,7183,333,313,837,5700,6870,14554,1404,3309,1730,8111,11245,129064,46565,20849,13116,48534,108215,161570.6,154907,67467.9,309736.1,20253,13102,5298
1968,6352.5,9119.8,2123.7,3185.1,NA,NA,8235,325,316,868,6726,7919,15201,1352,3238,1580,9031,11963,152575,48026,24874,15963,63712,127701,179533.4,174128.5,66236.2,353105.3,19668,12385,5428
1969,7036.3,10615.3,1344.9,3244.3,NA,NA,8027,343,305,826,6553,7722,14550,1397,2828,1342,8983,11722,165723,51968,27203,17248,69304,138520,207884.7,189103.3,62416.6,385010.3,19263,12235,5038
1970,6373.2,8822.7,1026.4,2684.4,NA,NA,4935,349,300,776,810,1935,7612,1431,2818,1271,2092,4794,147647,56584,30837,20119,40107,116810,225677.1,191579.8,65638.7,140178.7,19108,12865,4937
1971,6369.6,9132.3,927.9,2718.7,NA,NA,2325,349,290,726,960,2035,7366,1356,2534,1137,2339,4832,158104,57973,31352,20610,48169,126752,243288.1,202234,69898.7,177904.3,18893,12865,4737
1972,8494.8,11743.9,945.3,3795.3,NA,NA,2217,343,276,655,943,1941,7583,1325,2749,1183,2326,4834,155265,54857,30379,20285,49744,124886,258763.1,261723.3,83807.3,191840.6,20401,13428,5362
1973,8064.2,13241.8,1035.2,4657,NA,NA,2580,358,286,775,1161,2294,7840,1436,2660,1099,2645,5180,196803,71804,34336,25487,65176,162467,247712.2,351473.2,101986.1,276587,24170,15926,5699
1974,6174.9,10921.9,895.4,5754,NA,NA,2655,369,296,751,1239,2359,7053,1313,2298,1259,2183,4755,214177,76418,36246,28409,73104,177931,466720.2,376185.5,140615,269344.7,26511,17338,5994
1975,5674.6,12488.2,1361.3,6162.3,NA,NA,2874,378,313,756,1427,2561,7345,1217,2417,1104,2607,4928,244725,87200,39711,31639,86175,205014,510384.5,461783.9,156258.6,425023.2,27430,17741,6113
1976,9281.4,12674.4,1910.6,7214.2,NA,NA,3002,376,344,735,1547,2658,8159,1261,2558,992,3348,5601,261469,88630,45020,33623,94196,216449,637472.3,683141.7,181567.3,692735.1,29530,18042,7421
1977,7328.7,12148.5,1921.6,7150,NA,NA,3346,359,336,839,1812,3010,8402,1071,2570,1163,3598,5832,284169,82630,47789,42457,111293,236380,645979.3,773176.5,271001.9,848224.1,27744,15916,7551
1978,8357.5,11888.1,1941.9,8447,NA,NA,3658,362,336,887,2073,3322,8812,1147,2409,1179,4077,6403,314625,86187,48101,47138,133199,266524,924669.3,910099.5,378430.7,1131946.5,28772,16214,7622
1979,9865.1,12715,1769.1,8310.7,NA,NA,3907,355,333,865,2354,3574,8840,1164,2287,1193,4196,6553,338709,88612,48501,47937,153659,290208,1158321.2,1097965.6,407048.3,1295233.2,29726,16987,7596
