"gene","SRR1039520","SRR1039512","SRR1039508","SRR1039516","SRR1039517","SRR1039509","SRR1039513","SRR1039521"
"ZBTB16",-0.76566602179227,-0.919734645820241,-0.932622776107135,-1.02623538323806,0.501859651021059,0.997069188971204,0.851679737614888,1.29365024935055
"MT1X",-0.823179356486641,-0.894571607192558,-0.986861311983835,-0.950070246198577,0.445737864026766,1.07841565544081,0.980561548152762,1.14996745424128
"SAMHD1",-0.815823322727608,-0.870544169805786,-0.938169601512136,-1.02387942701904,0.496352391703462,0.811166011775983,1.12665477623495,1.21424334135018
"CCDC69",-0.722640581385023,-0.709701866011347,-1.08348724993329,-1.13468595980357,0.575518227211615,1.15322979884075,1.01038831356845,0.911379317512413
"NEXN",-0.731526109116024,-0.778755732934759,-1.1127368533803,-1.06226242877006,0.694720735819951,0.879190781070707,1.11597637860773,0.995393228702757
"DUSP1",-0.932310442784574,-0.688784742502824,-1.04286218031142,-1.02158709614896,0.648904483578314,0.87130413323848,1.06558704792386,1.09974879700712
"STEAP1",-0.542091027025718,-1.01024792027068,-1.03266152168318,-1.0863138312812,0.840147293012728,0.748181418651914,1.08638995059389,0.996595638002243
"GLUL",-1.01993266314407,-0.929631970831981,-0.799795383145126,-0.85259289530211,0.344843536811353,1.14551343760316,0.870868714799615,1.24072722320915
"STOM",-0.88900105082792,-0.897704439580385,-1.0427331604644,-0.877732042633899,0.898328275520966,0.957452498778061,0.692707198447108,1.15868272076048
"PNPLA2",-1.0189180038014,-0.763222478189496,-0.877872986373771,-1.0399449339432,0.905942827648496,0.881283686214318,0.73221630292881,1.18051558551624
"SMIM3",-1.06431261338426,-0.852725642668443,-0.866711430327284,-0.9165758498505,1.05007886863746,0.925205569675475,0.63641960240173,1.08862149551582
"FAM198B",-1.06715037729252,-0.840308913032194,-1.06167171038811,-0.73335364446018,0.785424465109786,0.937191217117539,0.857728030441491,1.12214093250418
"SPARCL1",-0.933370077058008,-0.819261509654872,-1.07931195222848,-0.877504961006207,0.712565894246333,1.05849989199821,0.880124854050707,1.05825785965232
"PER1",-0.933644243997044,-1.03113573214228,-0.978066571331549,-0.763690177623663,0.700706911582457,1.12240267948888,0.921666288582443,0.961760845440753
"NNMT",-1.25452132705551,-0.768208668586701,-0.948284638684914,-0.711843236640011,0.916404553812032,1.08312789568307,0.854143696553479,0.829181724918558
"MAOA",-1.22590730996241,-0.872019386397429,-0.823664406880742,-0.779511204273246,0.987192862078293,0.966586913113213,0.961024475973214,0.786298056349112
"PHC2",-1.12730475111661,-1.02363532826686,-0.839323417817279,-0.715763985814593,0.904219876590564,0.804608260324695,0.947795254380322,1.04940409171977
"FKBP5",-1.18667504131506,-0.880573284012176,-0.985423741405219,-0.630059140774681,0.76592480262591,0.986337852611462,1.0781523623349,0.852316189934861
"MORF4L2",-0.975748122792059,-1.09491055599255,-0.81734750793117,-0.809871599767167,1.17733715023973,0.751800242289147,0.953615623432934,0.81512477052113
"MT2A",-0.939253551259218,-1.06841626087654,-0.609043651025611,-1.06842405374383,0.999065501226883,1.04775246050812,0.932875994105564,0.705443561064625
"FAM171B",1.10482869823838,0.558919229988091,0.959833394395524,1.06075341701845,-0.994962524496248,-0.807063382298056,-0.8793487294614,-1.00296010338474
"DNM1",1.22617582307859,0.693845811886831,1.00645691690409,0.75806033025593,-1.0140932792205,-0.823679558672135,-1.0110022121739,-0.835763832058912
"SLC6A9",1.11377966320612,0.977207587209589,0.765307166323124,0.827380147070432,-0.735649567863107,-1.09332439476016,-1.1245957667538,-0.730104834432188
"ARHGEF2",0.858418213870744,0.97422519840164,0.933036721904411,0.969284064534631,-0.918337859023206,-0.967708713781826,-1.01071870795966,-0.838198917946741
"KCTD12",1.00049047013443,0.803710353384906,0.978100630161478,0.910338181003892,-0.703662839681456,-0.745318716713873,-1.12569381256313,-1.11796426572625
