ensgene,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000000003,7105,TSPAN6,X,100627109,100639991,-1,protein_coding,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000005,64102,TNMD,X,100584802,100599885,1,protein_coding,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]
ENSG00000000419,8813,DPM1,20,50934867,50958555,-1,protein_coding,"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3005]"
ENSG00000000457,57147,SCYL3,1,169849631,169894267,-1,protein_coding,"SCY1-like, kinase-like 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
ENSG00000000460,55732,C1orf112,1,169662007,169854080,1,protein_coding,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938,2268,FGR,1,27612064,27635277,-1,protein_coding,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
ENSG00000000971,3075,CFH,1,196651878,196747504,1,protein_coding,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036,2519,FUCA2,6,143494811,143511690,-1,protein_coding,"fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:HGNC:4008]"
ENSG00000001084,2729,GCLC,6,53497341,53616970,-1,protein_coding,"glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
ENSG00000001167,4800,NFYA,6,41072945,41099976,1,protein_coding,"nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
ENSG00000001460,90529,STPG1,1,24356999,24416934,-1,protein_coding,sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461,57185,NIPAL3,1,24415794,24472976,1,protein_coding,NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497,81887,LAS1L,X,65512582,65534775,-1,protein_coding,"LAS1-like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
ENSG00000001561,22875,ENPP4,6,46129993,46146699,1,protein_coding,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617,6405,SEMA3F,3,50155045,50189075,1,protein_coding,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
ENSG00000001626,1080,CFTR,7,117465784,117715971,1,protein_coding,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:HGNC:1884]"
ENSG00000001629,54467,ANKIB1,7,92246234,92401384,1,protein_coding,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630,1595,CYP51A1,7,92112151,92142952,-1,protein_coding,"cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
ENSG00000001631,889,KRIT1,7,92198969,92246166,-1,protein_coding,"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
ENSG00000002016,5893,RAD52,12,912077,990053,-1,protein_coding,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
ENSG00000002079,NA,MYH16,7,99238794,99311130,1,unitary_pseudogene,"myosin, heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]"
ENSG00000002330,572,BAD,11,64269830,64284704,-1,protein_coding,BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549,51056,LAP3,4,17577192,17607972,1,protein_coding,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002586,4267,CD99,X,2691179,2741309,1,protein_coding,CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000002587,9957,HS3ST1,4,11393150,11429765,-1,protein_coding,heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002726,26,AOC1,7,150824627,150861504,1,protein_coding,"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]"
ENSG00000002745,51384,WNT16,7,121325367,121341104,1,protein_coding,"wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:HGNC:16267]"
ENSG00000002746,23072,HECW1,7,43112599,43566001,1,protein_coding,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
ENSG00000002822,8379,MAD1L1,7,1815793,2233243,-1,protein_coding,MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000002834,3927,LASP1,17,38869859,38921770,1,protein_coding,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
ENSG00000002919,29916,SNX11,17,48103357,48123074,1,protein_coding,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]
ENSG00000002933,55365,TMEM176A,7,150800403,150805120,1,protein_coding,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
ENSG00000003056,4074,M6PR,12,8940363,8949955,-1,protein_coding,mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:HGNC:6752]
ENSG00000003096,90293,KLHL13,X,117897813,118117340,-1,protein_coding,kelch-like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]
ENSG00000003137,56603,CYP26B1,2,72129238,72148038,-1,protein_coding,"cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
ENSG00000003147,3382,ICA1,7,8113184,8262687,-1,protein_coding,"islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:HGNC:5343]"
ENSG00000003249,79007,DBNDD1,16,90004865,90020128,-1,protein_coding,dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
ENSG00000003393,57679,ALS2,2,201700554,201781189,-1,protein_coding,amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:HGNC:443]
ENSG00000003400,843,CASP10,2,201182881,201229406,1,protein_coding,"caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]"
ENSG00000003402,8837,CFLAR,2,201116104,201176687,1,protein_coding,CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
ENSG00000003436,7035,TFPI,2,187464230,187565760,-1,protein_coding,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000003509,55471,NDUFAF7,2,37231631,37253403,1,protein_coding,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"
ENSG00000003756,10181,RBM5,3,50088908,50119021,1,protein_coding,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]
ENSG00000003987,9108,MTMR7,8,17298030,17413528,-1,protein_coding,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
ENSG00000003989,6542,SLC7A2,8,17497088,17570573,1,protein_coding,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
ENSG00000004059,381,ARF5,7,127588345,127591705,1,protein_coding,ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]
ENSG00000004139,23098,SARM1,17,28364356,28404049,1,protein_coding,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]
ENSG00000004142,26073,POLDIP2,17,28347177,28357522,-1,protein_coding,"polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
ENSG00000004399,23129,PLXND1,3,129555175,129606818,-1,protein_coding,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]
ENSG00000004455,204,AK2,1,33007940,33080996,-1,protein_coding,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
ENSG00000004468,952,CD38,4,15778275,15853230,1,protein_coding,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004478,2288,FKBP4,12,2794953,2805423,1,protein_coding,"FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:HGNC:3720]"
ENSG00000004487,23028,KDM1A,1,23019448,23083689,1,protein_coding,lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]
